-20.463,-44.776,-26.498
32.486,-54.124,-25.881
-48.315,38.282,-28.165
-56.212,20.842,15.716
-23.969,62.691,-45.814
55.456,27.875,-35.015
-38.435,-52.057,4.3119
20.565,-52.054,11.435
62.786,-13.037,-24.087
33.357,52.683,-37.886
-52.783,-17.564,-21.324
55.87,13.742,-24.566
19.558,46.768,40.475
-13.499,-58.712,-19.46
-57.153,-14.904,2.7822
-51.438,-23.957,-35.876
49.32,-29.356,46.666
31.35,-50.598,25.401
-2.6209,-40.567,15.477
57.117,23.57,-33.108
-23.907,-47.947,-44.208
-54.744,22.502,13.195
22.653,53.89,-39.02
50.541,32.583,-34.593
-59.667,12.788,-25.612
-16.623,55.501,-44.943
56.556,23.541,41.534
19.035,-58.101,-34.616
29.148,-50.692,-33.251
-60.483,-5.1166,31.903
-10.832,48.288,-22.749
-9.9019,-46.538,-31.446
-22.799,-51.137,56.099
54.451,-6.7179,15.46
46.736,-23.61,-23.883
56.374,30.814,-23.742
-46.732,27.978,30.9
-56.103,-19.243,-46.451
-22.21,51.515,-37.136
28.37,51.001,-20.391
51.943,27.176,17.261
30.354,-50.964,22.964
-47.397,-31.511,-56.286
45.183,-41.465,9.3938
-17.168,58.147,16.25
-15.828,-47.357,31.603
64.358,-13.807,-26.467
-48.122,-21.699,-41.552
-12.811,-51.701,-18.387
-1.0652,-52.574,-30.109
58.301,-0.10187,39.893
34.919,48.981,54.808
5.1917,60.461,-50.427
-15.978,52.213,47.136
-27.158,42.347,-37.923
31.397,-50.292,-27.754
-46.303,-16.83,-39.319
55.56,16.489,-24.203
25.227,52.837,-36.715
-52.762,-11.938,42.533
-27.431,-51.25,22.526
53.796,-20.742,-38.151
63.23,-16.739,-21.441
-48.577,-1.1879,-17.462
-33.702,53.266,20.085
-56.774,12.039,24.023
37.11,-51.734,-38.016
-61.135,28.267,20.079
14.464,-49.99,-45.219
6.0011,59.674,-58.14
38.114,12.723,11.218
19.415,47.882,-24.539
52.123,-26.683,25.012
-9.0468,53.607,-17.834
-41.024,30.513,-17.66
-49.778,23.459,21.67
-19.486,50.632,-34.026
15.201,-50.704,-41.127
37.474,-39.404,51.322
-51.618,-15.299,-22.776
25.181,50.193,-36.42
59.566,16.714,47.978
55.174,22.617,18.173
-40.874,27.126,-17.216
34.664,52.514,59.052
-16.931,-50.908,-25.931
-50.431,-20.563,-54.91
-12.515,51.537,-21.652
-59.022,-13.361,-0.69467
-50.922,21.932,26.139
57.363,20.606,14.055
37.242,35.449,27.93
-11.495,86.115,6.3087
57.881,-16.12,-42.067
-21.834,-50.318,23.294
-46.047,-27.05,22.723
-18.843,-46.344,-30.941
-15.663,-59.42,17.827
-21.462,45.143,-37.002
47.803,8.9078,-17.732
21.563,-46.149,-24.542
-43.451,25.589,24.452
-18.372,53.641,8.3446
30.554,46.267,-33.289
65.136,-34.835,26.304
-52.244,2.2122,-37.587
-18.649,-60.158,-31.279
56.963,-11.222,-29.204
68.716,19.396,20.871
-65.092,-21.084,30.395
