1.838671755866684521e+01,8.791148732315348013e+01,9.067425604070432144e+01,1.028471268836530186e+02,1.032331368297184326e+02,1.184194223317243484e+02,1.324736623368731614e+02,1.584581821004860842e+02
6.283156518005699098e+01,7.317376517120138146e+01,1.566803770099295434e+02,1.616332695453384360e+02,1.632869618951094139e+02,1.654133363997783874e+02,1.670997291717563087e+02,1.767545472467932370e+02
1.461590120717823993e+02,1.624223922791647112e+02,1.740778811201188319e+02,1.808072565349284275e+02,2.060165597715546824e+02,2.204515520013978289e+02,2.593103321792847282e+02,2.879733733175673365e+02
3.640162021421279093e+01,6.058930531036810407e+01,8.423250129598817182e+01,1.225722076252985033e+02,1.231295042084248479e+02,1.313126969302918781e+02,1.374178047617849927e+02,1.472729110686805143e+02
3.200572690125596154e+01,4.439663324653204768e+01,5.350828587317499796e+01,1.211914403167555747e+02,1.396007624752267589e+02,1.774520524325786539e+02,1.939012994301652100e+02,2.225726424624650122e+02
1.265923305604345828e+01,2.080258163774979252e+01,4.307613939772793543e+01,4.899658305900440070e+01,1.156102573549175787e+02,1.234769758361224490e+02,1.374259343588610420e+02,1.375762868953158033e+02
1.225679671360936851e+02,1.422957149871959075e+02,1.522089505927927746e+02,1.585827079537871214e+02,1.617002215640243321e+02,1.621275868837382461e+02,1.953397081727500790e+02,1.996079746778081017e+02
2.423661434650317759e+01,6.514904882659820373e+01,6.649399614292383376e+01,6.700797949571033030e+01,8.345038443332670397e+01,8.417655212755002481e+01,9.834623624433008615e+01,1.146173657107799357e+02
5.389687191897864693e+01,9.489712934129168787e+01,9.597538759110682349e+01,9.679669105205961444e+01,1.066223723930532543e+02,1.255562375311683212e+02,1.268270441889570748e+02,1.525411905331359321e+02
1.393993207868472162e+01,4.942634796150546350e+01,7.160711251472851302e+01,7.626911259505907026e+01,9.946568621857072401e+01,1.195646539983631271e+02,1.536938956917511803e+02,1.676916791439815881e+02
1.172531793984189363e+01,4.273253812102405647e+01,7.681512741299060565e+01,1.127482474668459531e+02,1.235865770095898029e+02,1.548544611519598391e+02,1.916680761800555217e+02,2.117194185937178474e+02
7.736680308826888108e+01,7.955109577650956965e+01,8.439232166764537624e+01,9.748958759675360852e+01,1.097041923572841853e+02,1.382105618019298845e+02,1.393458861273404068e+02,1.539518204782585542e+02
5.173071651091876788e+01,5.821756458257055300e+01,8.062589034986174852e+01,1.065619010878799742e+02,1.263266040125413809e+02,1.396423867952982789e+02,1.416804671605439978e+02,1.424581760039552023e+02
